token,solar_id,glm_id,same_id,cosine
Ġthe,4360,279,False,-0.003565357657167387
ion,4377,290,False,0.01881030140927307
ing,4387,287,False,0.010510022603895124
Ġand,4394,323,False,0.002563709686658574
ent,4399,306,False,0.02743885586004118
ation,4422,367,False,-0.006702782940391755
Ġfor,4442,369,False,0.013263447404018611
Ġcon,4455,390,False,-0.01364286020837992
Ġthat,4462,429,False,-0.0013783581964799338
Ġpro,4463,462,False,-0.013533249203291317
ment,4474,478,False,0.007460348779204906
ith,4481,410,False,-0.026451015476149756
ate,4485,349,False,-0.0022731781471086567
ers,4487,388,False,-0.00045701887476844465
ect,4488,439,False,-0.008544262116850769
omp,4496,14425,False,0.0269071978335209
ĠThe,4498,576,False,-0.01215205058579166
Ġwith,4499,448,False,0.023586693577708227
Ġare,4504,525,False,-0.014340338785827167
ter,4506,465,False,-0.003963301707877022
res,4517,416,False,0.0038936704457612744
ist,4526,380,False,-0.003063214838595156
est,4528,477,False,-0.008714775569440687
ver,4530,423,False,-0.00664577933436869
end,4533,408,False,0.019464703030457556
her,4536,1923,False,0.002531404394763223
ity,4539,487,False,0.0201003515446271
ess,4543,433,False,0.0011566125829528045
ive,4552,533,False,0.007942097568882379
ial,4553,530,False,0.03958614718380356
ore,4554,460,False,0.010359130247856781
ain,4555,466,False,-0.024659457952870906
igh,4558,1090,False,-0.013590981929468013
ies,4559,550,False,0.0015551986343288419
rom,4560,441,False,-0.009020309607772123
ble,4573,891,False,0.008410484393828016
ren,4575,1440,False,0.009050341485116315
ach,4576,610,False,-0.007854450299557749
red,4584,1151,False,-0.011440062825061902
ions,4585,908,False,0.00568049554492298
Ġcomp,4590,1367,False,-0.00848343986426816
and,4591,437,False,0.007243042848018164
ich,4592,713,False,0.009526238794688596
Ġthis,4596,419,False,-0.011062285138437739
ated,4597,657,False,0.013093713093762047
ill,4602,483,False,0.006565734423666963
Ġnot,4603,537,False,0.0022947018061330606
per,4604,712,False,-0.004165635191410542
Ġcan,4605,646,False,-0.004304665886575393
Ġfrom,4608,504,False,-0.014189498953276886
und,4615,1241,False,-0.028215300927477188
ath,4618,587,False,0.019161364824663997
ber,4622,652,False,0.029375093102925
art,4625,471,False,-0.003494741387775513
ait,4626,1315,False,0.01492918338468229
ine,4627,482,False,-0.013542955147102334
ight,4629,491,False,-0.007798938900118838
ure,4631,552,False,0.006534846239443339
ort,4634,371,False,0.020653216027335875
Ġall,4637,678,False,0.016031979022436738
ant,4640,517,False,-0.0015407812102159852
ave,4641,523,False,0.011226829694128469
ust,4642,590,False,-0.005569958743214934
uld,4644,36382,False,-0.017057634427510935
Ġper,4645,817,False,0.002758749286256735
act,4647,531,False,0.004521661293473431
Ġres,4648,592,False,0.00794945169009515
Ġwhich,4652,892,False,0.005869444803740547
ple,4654,694,False,0.005003304104614856
ase,4658,519,False,0.004960869809152973
ations,4671,804,False,-0.0049876167764797905
uct,4674,667,False,-0.0013100366237531382
able,4676,480,False,-0.03509965661894076
The,4677,785,False,-0.003957469975598331
Ġhave,4680,614,False,0.012249685890581636
ref,4684,1097,False,0.009034127714058694
Ġapp,4687,906,False,-0.028068940759124278
ult,4688,494,False,-0.019329110737641614
age,4691,424,False,-0.008714806531467492
ely,4692,974,False,-0.005482806661677898
